teamA,teamB,date,league,teamA_win
DRX,KT Rolster,2023-02-15,LCK,0
T1,DRX,2023-02-12,LCK,1
Dplus KIA,Hanwha Life Esports,2023-02-12,LCK,1
KT Rolster,Gen.G,2023-02-11,LCK,1
Kwangdong Freecs,Nongshim RedForce,2023-02-11,LCK,1
DRX,Liiv SANDBOX,2023-02-10,LCK,0
BRION,Hanwha Life Esports,2023-02-10,LCK,0
Gen.G,Nongshim RedForce,2023-02-09,LCK,1
Dplus KIA,KT Rolster,2023-02-09,LCK,0
T1,BRION,2023-02-08,LCK,1
Liiv SANDBOX,Kwangdong Freecs,2023-02-08,LCK,1
Kwangdong Freecs,Dplus KIA,2023-02-05,LCK,0
BRION,KT Rolster,2023-02-05,LCK,0
T1,Nongshim RedForce,2023-02-04,LCK,1
Hanwha Life Esports,DRX,2023-02-04,LCK,1
Gen.G,Liiv SANDBOX,2023-02-03,LCK,1
KT Rolster,Kwangdong Freecs,2023-02-03,LCK,0
Hanwha Life Esports,T1,2023-02-02,LCK,1
DRX,BRION,2023-02-02,LCK,0
Gen.G,Dplus KIA,2023-02-01,LCK,1
Liiv SANDBOX,Nongshim RedForce,2023-02-01,LCK,1
Kwangdong Freecs,DRX,2023-01-29,LCK,0
Hanwha Life Esports,Gen.G,2023-01-29,LCK,0
BRION,Liiv SANDBOX,2023-01-28,LCK,0
T1,Dplus KIA,2023-01-28,LCK,1
Hanwha Life Esports,KT Rolster,2023-01-27,LCK,0
DRX,Nongshim RedForce,2023-01-27,LCK,0
T1,Kwangdong Freecs,2023-01-26,LCK,1
Gen.G,BRION,2023-01-26,LCK,1
Liiv SANDBOX,KT Rolster,2023-01-25,LCK,1
Nongshim RedForce,Dplus KIA,2023-01-25,LCK,0
KT Rolster,Nongshim RedForce,2023-01-22,LCK,1
Hanwha Life Esports,Liiv SANDBOX,2023-01-22,LCK,0
Kwangdong Freecs,BRION,2023-01-21,LCK,0
Gen.G,DRX,2023-01-21,LCK,1
Dplus KIA,Liiv SANDBOX,2023-01-20,LCK,1
T1,KT Rolster,2023-01-20,LCK,1
Nongshim RedForce,BRION,2023-01-19,LCK,0
Kwangdong Freecs,Hanwha Life Esports,2023-01-19,LCK,0
T1,Gen.G,2023-01-18,LCK,1
Dplus KIA,DRX,2023-01-18,LCK,1
T1,Gen.G,2023-04-09,LCK,0
Gen.G,KT Rolster,2023-04-08,LCK,1
KT Rolster,Hanwha Life Esports,2023-04-02,LCK,1
T1,Gen.G,2023-04-01,LCK,1
Gen.G,Hanwha Life Esports,2023-03-26,LCK,1
T1,KT Rolster,2023-03-25,LCK,1
Dplus KIA,Hanwha Life Esports,2023-03-23,LCK,0
Liiv SANDBOX,KT Rolster,2023-03-22,LCK,0
KT Rolster,Liiv SANDBOX,2023-08-06,LCK,1
DRX,Kwangdong Freecs,2023-08-06,LCK,1
BRION,Gen.G,2023-08-05,LCK,1
Dplus KIA,Hanwha Life Esports,2023-08-05,LCK,0
Nongshim RedForce,KT Rolster,2023-08-04,LCK,0
T1,Liiv SANDBOX,2023-08-04,LCK,1
Hanwha Life Esports,Gen.G,2023-08-03,LCK,0
DRX,BRION,2023-08-03,LCK,1
Nongshim RedForce,Dplus KIA,2023-08-02,LCK,0
T1,Kwangdong Freecs,2023-08-02,LCK,1
Gen.G,Dplus KIA,2023-07-30,LCK,1
Nongshim RedForce,BRION,2023-07-30,LCK,1
DRX,Hanwha Life Esports,2023-07-29,LCK,0
KT Rolster,T1,2023-07-29,LCK,1
BRION,Liiv SANDBOX,2023-07-28,LCK,0
Dplus KIA,Kwangdong Freecs,2023-07-28,LCK,1
Hanwha Life Esports,Nongshim RedForce,2023-07-27,LCK,1
T1,DRX,2023-07-27,LCK,0
Kwangdong Freecs,KT Rolster,2023-07-26,LCK,0
Gen.G,Liiv SANDBOX,2023-07-26,LCK,1
Liiv SANDBOX,DRX,2023-07-23,LCK,1
T1,BRION,2023-07-23,LCK,0
Nongshim RedForce,Kwangdong Freecs,2023-07-22,LCK,1
Gen.G,KT Rolster,2023-07-22,LCK,0
Hanwha Life Esports,T1,2023-07-21,LCK,1
BRION,Dplus KIA,2023-07-21,LCK,0
DRX,Nongshim RedForce,2023-07-20,LCK,0
Kwangdong Freecs,Gen.G,2023-07-20,LCK,0
Liiv SANDBOX,Hanwha Life Esports,2023-07-19,LCK,0
Dplus KIA,KT Rolster,2023-07-19,LCK,0
KT Rolster,DRX,2023-07-16,LCK,1
Dplus KIA,T1,2023-07-16,LCK,1
Hanwha Life Esports,BRION,2023-07-15,LCK,1
Kwangdong Freecs,Liiv SANDBOX,2023-07-15,LCK,0
DRX,Gen.G,2023-07-14,LCK,0
T1,Nongshim RedForce,2023-07-14,LCK,1
BRION,Kwangdong Freecs,2023-07-13,LCK,1
Hanwha Life Esports,KT Rolster,2023-07-13,LCK,0
Gen.G,Nongshim RedForce,2023-07-12,LCK,1
Liiv SANDBOX,Dplus KIA,2023-07-12,LCK,0
Kwangdong Freecs,Hanwha Life Esports,2023-07-09,LCK,0
KT Rolster,BRION,2023-07-09,LCK,1
Nongshim RedForce,Liiv SANDBOX,2023-07-08,LCK,1
T1,Gen.G,2023-07-08,LCK,0
BRION,KT Rolster,2023-07-07,LCK,0
Dplus KIA,DRX,2023-07-07,LCK,1
Liiv SANDBOX,Gen.G,2023-07-06,LCK,0
Nongshim RedForce,Hanwha Life Esports,2023-07-06,LCK,0
DRX,T1,2023-07-05,LCK,1
Dplus KIA,Kwangdong Freecs,2023-07-05,LCK,1
T1,Nongshim RedForce,2023-07-02,LCK,1
Gen.G,Hanwha Life Esports,2023-07-02,LCK,1
Kwangdong Freecs,Liiv SANDBOX,2023-07-01,LCK,1
BRION,DRX,2023-07-01,LCK,1
T1,Dplus KIA,2023-06-30,LCK,1
KT Rolster,Nongshim RedForce,2023-06-30,LCK,1
DRX,Liiv SANDBOX,2023-06-29,LCK,1
Gen.G,BRION,2023-06-29,LCK,1
KT Rolster,Kwangdong Freecs,2023-06-28,LCK,1
Hanwha Life Esports,Dplus KIA,2023-06-28,LCK,0
BRION,Hanwha Life Esports,2023-06-25,LCK,0
Nongshim RedForce,DRX,2023-06-25,LCK,0
T1,KT Rolster,2023-06-24,LCK,0
Dplus KIA,Gen.G,2023-06-24,LCK,0
Hanwha Life Esports,Liiv SANDBOX,2023-06-23,LCK,1
Kwangdong Freecs,Nongshim RedForce,2023-06-23,LCK,1
KT Rolster,Dplus KIA,2023-06-22,LCK,1
Gen.G,DRX,2023-06-22,LCK,1
Kwangdong Freecs,T1,2023-06-21,LCK,0
Liiv SANDBOX,BRION,2023-06-21,LCK,1
Dplus KIA,Nongshim RedForce,2023-06-18,LCK,1
Liiv SANDBOX,KT Rolster,2023-06-18,LCK,0
BRION,T1,2023-06-17,LCK,0
Hanwha Life Esports,Kwangdong Freecs,2023-06-17,LCK,1
DRX,KT Rolster,2023-06-16,LCK,0
Nongshim RedForce,Gen.G,2023-06-16,LCK,0
Dplus KIA,BRION,2023-06-15,LCK,0
T1,Liiv SANDBOX,2023-06-15,LCK,1
Gen.G,Kwangdong Freecs,2023-06-14,LCK,1
Hanwha Life Esports,DRX,2023-06-14,LCK,1
Gen.G,T1,2023-06-11,LCK,1
DRX,Dplus KIA,2023-06-11,LCK,0
Kwangdong Freecs,BRION,2023-06-10,LCK,1
Liiv SANDBOX,Nongshim RedForce,2023-06-10,LCK,1
Hanwha Life Esports,T1,2023-06-09,LCK,0
KT Rolster,Gen.G,2023-06-09,LCK,0
BRION,Nongshim RedForce,2023-06-08,LCK,0
Kwangdong Freecs,DRX,2023-06-08,LCK,1
Dplus KIA,Liiv SANDBOX,2023-06-07,LCK,1
KT Rolster,Hanwha Life Esports,2023-06-07,LCK,1
Gen.G,T1,2023-08-20,LCK,1
T1,KT Rolster,2023-08-19,LCK,1
KT Rolster,Hanwha Life Esports,2023-08-13,LCK,1
Gen.G,T1,2023-08-12,LCK,1
Gen.G,Hanwha Life Esports,2023-08-11,LCK,1
KT Rolster,T1,2023-08-10,LCK,0
Dplus KIA,T1,2023-08-09,LCK,0
Hanwha Life Esports,DRX,2023-08-08,LCK,1
Hanwha Life Esports,Dplus KIA,2023-08-26,LCK,0
Dplus KIA,DRX,2023-08-25,LCK,1
KT Rolster,Hanwha Life Esports,2023-08-24,LCK,1
CLG,100 Thieves,2023-03-17,LCS,0
Evil Geniuses,100 Thieves,2023-03-17,LCS,0
FlyQuest,Cloud9,2023-03-17,LCS,0
100 Thieves,Immortals,2023-03-17,LCS,1
Dignitas,Golden Guardians,2023-03-17,LCS,1
Evil Geniuses,Team Liquid,2023-03-17,LCS,0
FlyQuest,TSM,2023-03-17,LCS,1
CLG,Cloud9,2023-03-17,LCS,1
TSM,Dignitas,2023-03-16,LCS,1
Cloud9,Immortals,2023-03-16,LCS,1
CLG,Team Liquid,2023-03-16,LCS,1
FlyQuest,Golden Guardians,2023-03-16,LCS,1
100 Thieves,Evil Geniuses,2023-03-16,LCS,1
Golden Guardians,CLG,2023-03-15,LCS,0
Evil Geniuses,Immortals,2023-03-15,LCS,0
100 Thieves,TSM,2023-03-15,LCS,1
Team Liquid,Dignitas,2023-03-15,LCS,1
Cloud9,FlyQuest,2023-03-15,LCS,1
Golden Guardians,TSM,2023-03-10,LCS,1
Dignitas,100 Thieves,2023-03-10,LCS,0
Evil Geniuses,CLG,2023-03-10,LCS,1
FlyQuest,Immortals,2023-03-10,LCS,1
Cloud9,Team Liquid,2023-03-10,LCS,1
CLG,Dignitas,2023-03-09,LCS,0
TSM,Immortals,2023-03-09,LCS,1
Cloud9,Evil Geniuses,2023-03-09,LCS,1
100 Thieves,Golden Guardians,2023-03-09,LCS,1
FlyQuest,Team Liquid,2023-03-09,LCS,0
Immortals,Golden Guardians,2023-03-03,LCS,0
Team Liquid,TSM,2023-03-03,LCS,0
Evil Geniuses,FlyQuest,2023-03-03,LCS,1
Cloud9,Dignitas,2023-03-03,LCS,1
CLG,100 Thieves,2023-03-03,LCS,1
Dignitas,Immortals,2023-03-02,LCS,0
Golden Guardians,Team Liquid,2023-03-02,LCS,0
100 Thieves,Cloud9,2023-03-02,LCS,0
TSM,Evil Geniuses,2023-03-02,LCS,0
FlyQuest,CLG,2023-03-02,LCS,1
Immortals,CLG,2023-02-24,LCS,0
Golden Guardians,Evil Geniuses,2023-02-24,LCS,1
100 Thieves,Team Liquid,2023-02-24,LCS,1
Dignitas,FlyQuest,2023-02-24,LCS,0
TSM,Cloud9,2023-02-24,LCS,0
Evil Geniuses,Dignitas,2023-02-23,LCS,0
CLG,TSM,2023-02-23,LCS,1
Cloud9,Golden Guardians,2023-02-23,LCS,0
Team Liquid,Immortals,2023-02-23,LCS,1
FlyQuest,100 Thieves,2023-02-23,LCS,1
Golden Guardians,100 Thieves,2023-02-17,LCS,1
Dignitas,TSM,2023-02-17,LCS,0
Cloud9,Team Liquid,2023-02-17,LCS,1
Immortals,Evil Geniuses,2023-02-17,LCS,0
CLG,FlyQuest,2023-02-17,LCS,0
Golden Guardians,Dignitas,2023-02-16,LCS,1
TSM,FlyQuest,2023-02-16,LCS,1
100 Thieves,CLG,2023-02-16,LCS,0
Immortals,Cloud9,2023-02-16,LCS,0
Evil Geniuses,Team Liquid,2023-02-16,LCS,1
TSM,Golden Guardians,2023-02-15,LCS,0
Dignitas,Cloud9,2023-02-15,LCS,0
Team Liquid,CLG,2023-02-15,LCS,0
FlyQuest,Immortals,2023-02-15,LCS,1
Evil Geniuses,100 Thieves,2023-02-15,LCS,1
Golden Guardians,Immortals,2023-02-10,LCS,1
Dignitas,Team Liquid,2023-02-10,LCS,0
Evil Geniuses,Cloud9,2023-02-10,LCS,1
TSM,CLG,2023-02-10,LCS,1
100 Thieves,FlyQuest,2023-02-10,LCS,0
Immortals,Dignitas,2023-02-09,LCS,1
CLG,Golden Guardians,2023-02-09,LCS,0
Team Liquid,100 Thieves,2023-02-09,LCS,0
FlyQuest,Evil Geniuses,2023-02-09,LCS,1
Cloud9,TSM,2023-02-09,LCS,1
CLG,Immortals,2023-02-03,LCS,0
Team Liquid,Golden Guardians,2023-02-03,LCS,1
TSM,100 Thieves,2023-02-03,LCS,0
Dignitas,Evil Geniuses,2023-02-03,LCS,0
FlyQuest,Cloud9,2023-02-03,LCS,1
Evil Geniuses,TSM,2023-02-02,LCS,1
Immortals,Team Liquid,2023-02-02,LCS,0
100 Thieves,Dignitas,2023-02-02,LCS,1
Golden Guardians,FlyQuest,2023-02-02,LCS,0
Cloud9,CLG,2023-02-02,LCS,1
FlyQuest,Dignitas,2023-01-27,LCS,1
100 Thieves,Immortals,2023-01-27,LCS,1
Team Liquid,TSM,2023-01-27,LCS,0
Golden Guardians,Cloud9,2023-01-27,LCS,0
CLG,Evil Geniuses,2023-01-27,LCS,1
Immortals,TSM,2023-01-26,LCS,0
CLG,Dignitas,2023-01-26,LCS,1
Team Liquid,FlyQuest,2023-01-26,LCS,0
Evil Geniuses,Golden Guardians,2023-01-26,LCS,1
Cloud9,100 Thieves,2023-01-26,LCS,1
Cloud9,Golden Guardians,2023-04-09,LCS,1
FlyQuest,Golden Guardians,2023-04-08,LCS,0
Evil Geniuses,Golden Guardians,2023-03-31,LCS,0
Cloud9,FlyQuest,2023-03-30,LCS,1
CLG,Evil Geniuses,2023-03-26,LCS,0
100 Thieves,Golden Guardians,2023-03-25,LCS,0
Cloud9,CLG,2023-03-24,LCS,1
FlyQuest,100 Thieves,2023-03-23,LCS,1
Golden Guardians,Cloud9,2023-07-21,LCS,0
Dignitas,100 Thieves,2023-07-21,LCS,1
Cloud9,FlyQuest,2023-07-21,LCS,1
Team Liquid,Dignitas,2023-07-21,LCS,1
100 Thieves,Golden Guardians,2023-07-21,LCS,0
Evil Geniuses,TSM,2023-07-21,LCS,1
Immortals,NRG,2023-07-21,LCS,1
Golden Guardians,Dignitas,2023-07-20,LCS,1
Team Liquid,Evil Geniuses,2023-07-20,LCS,0
100 Thieves,NRG,2023-07-20,LCS,1
Cloud9,TSM,2023-07-20,LCS,1
FlyQuest,Immortals,2023-07-20,LCS,1
Dignitas,100 Thieves,2023-07-19,LCS,1
NRG,Cloud9,2023-07-19,LCS,1
FlyQuest,TSM,2023-07-19,LCS,1
Golden Guardians,Team Liquid,2023-07-19,LCS,1
Immortals,Evil Geniuses,2023-07-19,LCS,0
Dignitas,Immortals,2023-07-14,LCS,0
Golden Guardians,NRG,2023-07-14,LCS,0
Team Liquid,FlyQuest,2023-07-14,LCS,1
Cloud9,Evil Geniuses,2023-07-14,LCS,1
100 Thieves,TSM,2023-07-14,LCS,1
NRG,Dignitas,2023-07-13,LCS,1
Team Liquid,TSM,2023-07-13,LCS,0
Cloud9,100 Thieves,2023-07-13,LCS,1
Evil Geniuses,FlyQuest,2023-07-13,LCS,0
Immortals,Golden Guardians,2023-07-13,LCS,0
Dignitas,TSM,2023-07-12,LCS,0
FlyQuest,NRG,2023-07-12,LCS,0
Cloud9,Team Liquid,2023-07-12,LCS,0
Golden Guardians,Evil Geniuses,2023-07-12,LCS,1
100 Thieves,Immortals,2023-07-12,LCS,0
TSM,Golden Guardians,2023-07-07,LCS,1
Immortals,Cloud9,2023-07-07,LCS,0
Team Liquid,100 Thieves,2023-07-07,LCS,1
NRG,Evil Geniuses,2023-07-07,LCS,1
Dignitas,FlyQuest,2023-07-07,LCS,1
Team Liquid,Immortals,2023-07-06,LCS,1
FlyQuest,Golden Guardians,2023-07-06,LCS,0
Cloud9,Dignitas,2023-07-06,LCS,1
TSM,NRG,2023-07-06,LCS,1
Evil Geniuses,100 Thieves,2023-07-06,LCS,1
Immortals,TSM,2023-07-05,LCS,0
Dignitas,Evil Geniuses,2023-07-05,LCS,0
Golden Guardians,Cloud9,2023-07-05,LCS,1
100 Thieves,FlyQuest,2023-07-05,LCS,1
NRG,Team Liquid,2023-07-05,LCS,1
Immortals,FlyQuest,2023-06-30,LCS,0
100 Thieves,TSM,2023-06-30,LCS,1
Dignitas,NRG,2023-06-30,LCS,1
Team Liquid,Golden Guardians,2023-06-30,LCS,0
Cloud9,Evil Geniuses,2023-06-30,LCS,1
100 Thieves,Golden Guardians,2023-06-29,LCS,0
Evil Geniuses,Immortals,2023-06-29,LCS,1
Dignitas,TSM,2023-06-29,LCS,1
Team Liquid,Cloud9,2023-06-29,LCS,1
NRG,FlyQuest,2023-06-29,LCS,0
Cloud9,Immortals,2023-06-28,LCS,1
100 Thieves,Dignitas,2023-06-28,LCS,1
NRG,Golden Guardians,2023-06-28,LCS,1
FlyQuest,Team Liquid,2023-06-28,LCS,1
Evil Geniuses,TSM,2023-06-28,LCS,1
Cloud9,NRG,2023-06-23,LCS,0
FlyQuest,Dignitas,2023-06-23,LCS,0
Team Liquid,Evil Geniuses,2023-06-23,LCS,0
Immortals,100 Thieves,2023-06-23,LCS,0
Golden Guardians,TSM,2023-06-23,LCS,1
Evil Geniuses,FlyQuest,2023-06-22,LCS,1
Dignitas,Team Liquid,2023-06-22,LCS,1
100 Thieves,Cloud9,2023-06-22,LCS,0
Immortals,Golden Guardians,2023-06-22,LCS,0
NRG,TSM,2023-06-22,LCS,0
100 Thieves,Evil Geniuses,2023-06-21,LCS,0
Immortals,TSM,2023-06-21,LCS,0
Cloud9,FlyQuest,2023-06-21,LCS,1
Team Liquid,NRG,2023-06-21,LCS,1
Dignitas,Golden Guardians,2023-06-21,LCS,0
Cloud9,TSM,2023-06-16,LCS,1
NRG,100 Thieves,2023-06-16,LCS,1
Evil Geniuses,Dignitas,2023-06-16,LCS,0
FlyQuest,Golden Guardians,2023-06-16,LCS,0
Immortals,Team Liquid,2023-06-16,LCS,0
Golden Guardians,Evil Geniuses,2023-06-15,LCS,0
NRG,Immortals,2023-06-15,LCS,0
100 Thieves,Team Liquid,2023-06-15,LCS,0
FlyQuest,TSM,2023-06-15,LCS,0
Dignitas,Cloud9,2023-06-15,LCS,0
FlyQuest,100 Thieves,2023-06-14,LCS,0
Evil Geniuses,NRG,2023-06-14,LCS,1
Immortals,Dignitas,2023-06-14,LCS,1
Team Liquid,TSM,2023-06-14,LCS,1
Cloud9,Golden Guardians,2023-06-14,LCS,1
Cloud9,NRG,2023-08-20,LCS,0
NRG,Team Liquid,2023-08-19,LCS,1
Golden Guardians,Team Liquid,2023-08-13,LCS,0
Cloud9,NRG,2023-08-12,LCS,1
Golden Guardians,Dignitas,2023-08-11,LCS,1
Team Liquid,Evil Geniuses,2023-08-10,LCS,1
Golden Guardians,NRG,2023-08-06,LCS,0
Cloud9,Evil Geniuses,2023-08-05,LCS,1
Team Liquid,100 Thieves,2023-08-04,LCS,1
TSM,Dignitas,2023-08-03,LCS,0
Team Liquid,NRG,2023-07-28,LCS,0
Evil Geniuses,TSM,2023-07-27,LCS,1
Los Grandes,FURIA Esports,2023-03-19,CBLOL,0
Fluxo W7M,RED Canids,2023-03-19,CBLOL,0
Vivo Keyd Stars,INTZ e-Sports,2023-03-19,CBLOL,1
LOUD,Liberty,2023-03-19,CBLOL,1
paiN Gaming,KaBuM! e-Sports,2023-03-19,CBLOL,1
RED Canids,FURIA Esports,2023-03-18,CBLOL,0
KaBuM! e-Sports,Vivo Keyd Stars,2023-03-18,CBLOL,1
INTZ e-Sports,Fluxo W7M,2023-03-18,CBLOL,1
paiN Gaming,Liberty,2023-03-18,CBLOL,1
LOUD,Los Grandes,2023-03-18,CBLOL,1
Vivo Keyd Stars,Fluxo W7M,2023-03-12,CBLOL,0
INTZ e-Sports,LOUD,2023-03-12,CBLOL,0
Liberty,RED Canids,2023-03-12,CBLOL,0
FURIA Esports,paiN Gaming,2023-03-12,CBLOL,0
KaBuM! e-Sports,Los Grandes,2023-03-12,CBLOL,0
paiN Gaming,INTZ e-Sports,2023-03-11,CBLOL,1
Los Grandes,Liberty,2023-03-11,CBLOL,1
RED Canids,KaBuM! e-Sports,2023-03-11,CBLOL,1
Fluxo W7M,FURIA Esports,2023-03-11,CBLOL,0
LOUD,Vivo Keyd Stars,2023-03-11,CBLOL,1
Fluxo W7M,paiN Gaming,2023-03-05,CBLOL,0
Liberty,Vivo Keyd Stars,2023-03-05,CBLOL,0
Los Grandes,INTZ e-Sports,2023-03-05,CBLOL,1
LOUD,RED Canids,2023-03-05,CBLOL,1
FURIA Esports,KaBuM! e-Sports,2023-03-05,CBLOL,0
paiN Gaming,Los Grandes,2023-03-04,CBLOL,1
KaBuM! e-Sports,Fluxo W7M,2023-03-04,CBLOL,0
FURIA Esports,LOUD,2023-03-04,CBLOL,0
Vivo Keyd Stars,RED Canids,2023-03-04,CBLOL,0
INTZ e-Sports,Liberty,2023-03-04,CBLOL,1
KaBuM! e-Sports,INTZ e-Sports,2023-02-26,CBLOL,0
Los Grandes,Vivo Keyd Stars,2023-02-26,CBLOL,0
RED Canids,paiN Gaming,2023-02-26,CBLOL,1
Liberty,FURIA Esports,2023-02-26,CBLOL,0
Fluxo W7M,LOUD,2023-02-26,CBLOL,1
INTZ e-Sports,FURIA Esports,2023-02-25,CBLOL,0
Liberty,Fluxo W7M,2023-02-25,CBLOL,0
RED Canids,Los Grandes,2023-02-25,CBLOL,0
LOUD,KaBuM! e-Sports,2023-02-25,CBLOL,1
Vivo Keyd Stars,paiN Gaming,2023-02-25,CBLOL,0
KaBuM! e-Sports,Liberty,2023-02-19,CBLOL,0
paiN Gaming,LOUD,2023-02-19,CBLOL,1
FURIA Esports,Vivo Keyd Stars,2023-02-19,CBLOL,1
Fluxo W7M,Los Grandes,2023-02-19,CBLOL,1
INTZ e-Sports,RED Canids,2023-02-19,CBLOL,1
Liberty,LOUD,2023-02-18,CBLOL,0
INTZ e-Sports,Vivo Keyd Stars,2023-02-18,CBLOL,0
KaBuM! e-Sports,paiN Gaming,2023-02-18,CBLOL,0
RED Canids,Fluxo W7M,2023-02-18,CBLOL,0
FURIA Esports,Los Grandes,2023-02-18,CBLOL,0
Liberty,paiN Gaming,2023-02-12,CBLOL,1
Fluxo W7M,INTZ e-Sports,2023-02-12,CBLOL,1
FURIA Esports,RED Canids,2023-02-12,CBLOL,1
Los Grandes,LOUD,2023-02-12,CBLOL,1
Vivo Keyd Stars,KaBuM! e-Sports,2023-02-12,CBLOL,0
LOUD,INTZ e-Sports,2023-02-11,CBLOL,1
Los Grandes,KaBuM! e-Sports,2023-02-11,CBLOL,1
paiN Gaming,FURIA Esports,2023-02-11,CBLOL,1
Fluxo W7M,Vivo Keyd Stars,2023-02-11,CBLOL,1
RED Canids,Liberty,2023-02-11,CBLOL,1
KaBuM! e-Sports,RED Canids,2023-02-05,CBLOL,1
Vivo Keyd Stars,LOUD,2023-02-05,CBLOL,0
Liberty,Los Grandes,2023-02-05,CBLOL,0
INTZ e-Sports,paiN Gaming,2023-02-05,CBLOL,1
FURIA Esports,Fluxo W7M,2023-02-05,CBLOL,0
RED Canids,LOUD,2023-02-04,CBLOL,1
INTZ e-Sports,Los Grandes,2023-02-04,CBLOL,0
KaBuM! e-Sports,FURIA Esports,2023-02-04,CBLOL,1
Vivo Keyd Stars,Liberty,2023-02-04,CBLOL,0
paiN Gaming,Fluxo W7M,2023-02-04,CBLOL,1
Fluxo W7M,KaBuM! e-Sports,2023-01-29,CBLOL,0
LOUD,FURIA Esports,2023-01-29,CBLOL,0
RED Canids,Vivo Keyd Stars,2023-01-29,CBLOL,1
Los Grandes,paiN Gaming,2023-01-29,CBLOL,1
Liberty,INTZ e-Sports,2023-01-29,CBLOL,0
Vivo Keyd Stars,Los Grandes,2023-01-28,CBLOL,0
paiN Gaming,RED Canids,2023-01-28,CBLOL,0
FURIA Esports,Liberty,2023-01-28,CBLOL,1
INTZ e-Sports,KaBuM! e-Sports,2023-01-28,CBLOL,0
LOUD,Fluxo W7M,2023-01-28,CBLOL,0
Fluxo W7M,Liberty,2023-01-22,CBLOL,0
KaBuM! e-Sports,LOUD,2023-01-22,CBLOL,0
paiN Gaming,Vivo Keyd Stars,2023-01-22,CBLOL,1
FURIA Esports,INTZ e-Sports,2023-01-22,CBLOL,0
Los Grandes,RED Canids,2023-01-22,CBLOL,0
Vivo Keyd Stars,FURIA Esports,2023-01-21,CBLOL,1
RED Canids,INTZ e-Sports,2023-01-21,CBLOL,1
Los Grandes,Fluxo W7M,2023-01-21,CBLOL,1
Liberty,KaBuM! e-Sports,2023-01-21,CBLOL,1
LOUD,paiN Gaming,2023-01-21,CBLOL,1
LOUD,paiN Gaming,2023-04-15,CBLOL,1
Los Grandes,paiN Gaming,2023-04-09,CBLOL,0
Los Grandes,FURIA Esports,2023-04-08,CBLOL,1
paiN Gaming,LOUD,2023-04-02,CBLOL,0
RED Canids,FURIA Esports,2023-04-01,CBLOL,0
LOUD,Los Grandes,2023-03-26,CBLOL,1
RED Canids,paiN Gaming,2023-03-25,CBLOL,0
FURIA Esports,Fluxo W7M,2023-03-24,CBLOL,1
Vivo Keyd Stars,RED Canids,2023-08-06,CBLOL,1
KaBuM! e-Sports,paiN Gaming,2023-08-06,CBLOL,0
Liberty,FURIA Esports,2023-08-06,CBLOL,1
INTZ e-Sports,Fluxo W7M,2023-08-06,CBLOL,1
Los Grandes,LOUD,2023-08-06,CBLOL,0
Fluxo W7M,KaBuM! e-Sports,2023-08-05,CBLOL,1
RED Canids,Los Grandes,2023-08-05,CBLOL,1
INTZ e-Sports,LOUD,2023-08-05,CBLOL,0
paiN Gaming,Liberty,2023-08-05,CBLOL,1
FURIA Esports,Vivo Keyd Stars,2023-08-05,CBLOL,1
Fluxo W7M,paiN Gaming,2023-07-30,CBLOL,0
LOUD,FURIA Esports,2023-07-30,CBLOL,1
Vivo Keyd Stars,Liberty,2023-07-30,CBLOL,1
KaBuM! e-Sports,RED Canids,2023-07-30,CBLOL,0
Los Grandes,INTZ e-Sports,2023-07-30,CBLOL,0
FURIA Esports,KaBuM! e-Sports,2023-07-29,CBLOL,1
paiN Gaming,INTZ e-Sports,2023-07-29,CBLOL,0
LOUD,Vivo Keyd Stars,2023-07-29,CBLOL,1
Los Grandes,Fluxo W7M,2023-07-29,CBLOL,1
RED Canids,Liberty,2023-07-29,CBLOL,1
Vivo Keyd Stars,Los Grandes,2023-07-23,CBLOL,1
KaBuM! e-Sports,LOUD,2023-07-23,CBLOL,0
INTZ e-Sports,FURIA Esports,2023-07-23,CBLOL,0
paiN Gaming,RED Canids,2023-07-23,CBLOL,1
Liberty,Fluxo W7M,2023-07-23,CBLOL,0
FURIA Esports,Los Grandes,2023-07-22,CBLOL,0
KaBuM! e-Sports,INTZ e-Sports,2023-07-22,CBLOL,0
Vivo Keyd Stars,paiN Gaming,2023-07-22,CBLOL,0
LOUD,Liberty,2023-07-22,CBLOL,1
Fluxo W7M,RED Canids,2023-07-22,CBLOL,1
INTZ e-Sports,Vivo Keyd Stars,2023-07-16,CBLOL,0
RED Canids,LOUD,2023-07-16,CBLOL,1
FURIA Esports,Fluxo W7M,2023-07-16,CBLOL,0
Los Grandes,paiN Gaming,2023-07-16,CBLOL,0
Liberty,KaBuM! e-Sports,2023-07-16,CBLOL,0
RED Canids,INTZ e-Sports,2023-07-15,CBLOL,1
Liberty,Los Grandes,2023-07-15,CBLOL,0
Fluxo W7M,LOUD,2023-07-15,CBLOL,1
KaBuM! e-Sports,Vivo Keyd Stars,2023-07-15,CBLOL,0
paiN Gaming,FURIA Esports,2023-07-15,CBLOL,1
LOUD,paiN Gaming,2023-07-09,CBLOL,1
FURIA Esports,RED Canids,2023-07-09,CBLOL,0
INTZ e-Sports,Liberty,2023-07-09,CBLOL,1
Los Grandes,KaBuM! e-Sports,2023-07-09,CBLOL,1
Vivo Keyd Stars,Fluxo W7M,2023-07-09,CBLOL,0
paiN Gaming,KaBuM! e-Sports,2023-07-08,CBLOL,1
LOUD,Los Grandes,2023-07-08,CBLOL,1
